"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12","Column13","Column14","Column15","Column16","Column17","Column18","Column19","Column20","Column21","Column22","Column23","Column24","Column25","Column26","Column27","Column28","Column29","Column30","Column31","Column32","Column33","Column34","Column35","Column36","Column37","Column38","Column39","Column40","Column41","Column42","Column43","Column44","Column45","Column46","Column47","Column48","Column49","Column50","Column51","Column52","MEASURE - Metric tons in millions"
"",YEAR,"1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005",2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
World,Crude oil loaded,"1207","1210","1321","1514","1497","1364","1555","1599","1604","1725","1527","1364","1163","1069","1079","1049","1126","1107","1160","1260","1287","1333","1394","1443","1498","1532","1590","1626","1548","1553","1605","1678","1637","1690","1770","1857",1783.415,1813.6855,1784.849,1710.1389,1784.592,1750.9807,1785.4253,1737.6741,1711.7013,1760.7505,1832.2593,1874.5718,1881.05,1860.2627,1715.9596
World,Other tanker trade loaded,"233","320","332","353","335","280","289","293","296","318","344","327","350","392","399","410","424","441","456","468","468","457","466","502","509","518","537","546","534","532","558","499","509","533","546","565",914.90985,933.6598,957.15753,931.14124,967.71643,1028.4744,1054.7084,1090.5824,1121.4996,1178.0502,1238.1068,1279.0151,1319.75,1302.6498,1202.3019
World,Dry cargo loaded,"1165","1162","1221","1407","1472","1428","1522","1576","1650","1785","1833","1864","1760","1770","1886","1895","1835","1987","2119","2212","2253","2330","2360","2385","2478","2601","2631","2781","3549","3598","3821","3844","3981","4257","4442","4687",5003.782,5288.8853,5485.5225,5176.829,5648.615,5959.098,6357.247,6624.6694,6983.2427,7074.325,7176.248,7560.3027,7818.35,7907.6206,7730.0176
World,Total goods loaded,"2605","2692","2874","3274","3304","3072","3366","3468","3550","3828","3704","3555","3273","3231","3364","3330","3385","3505","3735","3940","4008","4120","4220","4330","4485","4651","4758","4953","5631","5683","5984","6020","6127","6480","6758","7109",7702.107,8036.2305,8227.529,7818.1094,8400.924,8738.554,9197.381,9452.926,9816.443,10013.126,10246.614,10713.89,11019.15,11070.533,10648.278
World,Crude oil discharged,"1101","1199","1325","1521","1470","1373","1522","1585","1634","1724","1530","1363","1283","1133","1166","1128","1220","1110","1194","1300","1315","1355","1414","1465","1508","1550","1599","1625","1515","1543","1633","1712","1696","1743","1773","1854",1939.89,1996.1929,1942.7896,1874.597,1939.3851,1897.0154,1930.0068,1881.7648,1850.1562,1909.9578,1985.4719,2033.4543,2048.8032,2022.7567,1863.6173
World,Other tanker trade discharged,"298","300","316","339","312","287","312","321","321","308","326","310","330","349","371","367","390","408","422","433","466","441","451","480","490","508","480","522","548","510","513","534","540","536","545","573",897.17487,901.61957,932.77496,922.6986,970.7252,1039.307,1055.8433,1090.6643,1087.5588,1175.4686,1234.766,1287.8853,1338.5504,1320.4868,1221.977
World,Dry cargo discharged,"1131","1134","1217","1377","1472","1395","1518","1536","1570","1782","1823","1838","1780","1830","1928","1938","1860","2120","2248","2337","2365","2449","2480","2477","2575","2685","2734","2890","3855","3955","4097","3954","4099","4324","4469","4696",5065.6196,5165.4897,5419.3813,5044.116,5454.0464,5766.0347,6129.4507,6510.822,6782.239,6879.3003,7082.917,7365.6597,7629.393,7711.834,7545.4688
World,Total goods discharged,"2529","2632","2858","3237","3254","3055","3352","3442","3525","3814","3679","3512","3393","3312","3465","3433","3470","3628","3866","4070","4126","4245","4345","4422","4573","4743","4815","5037","5918","6007","6242","6201","6335","6603","6787","7122",7902.6846,8063.3022,8294.945,7841.4116,8364.156,8702.357,9115.301,9483.251,9719.954,9964.727,10303.155,10686.999,11016.747,11055.077,10631.063
  Africa,Crude oil loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,353.756,362.51007,379.16077,354.00055,343.59558,338.0051,364.2283,327.53348,304.329,293.676,271.31952,291.32452,297.437,302.822,236.122
  Africa,Other tanker trade loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.03178,81.84387,83.30696,82.958885,81.52263,68.51641,70.15009,82.38955,74.34615,58.576153,58.781826,70.433105,70.43386,91.64166,83.433365
  Africa,Dry cargo loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282.1156,287.737,300.88657,273.09506,301.27634,321.86963,325.83896,365.43042,359.4362,362.7567,363.5616,376.51917,395.16455,419.61823,415.90823
  Africa,Total goods loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,721.9034,732.09094,763.3543,710.0545,726.39453,728.3912,760.21735,775.35345,738.1113,715.00885,693.66296,738.2768,763.0354,814.0819,735.46356
  Africa,Crude oil discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.268745,45.702274,45.0193,44.600193,42.02015,37.7858,32.7685,36.611,37.19,39.35,38.698,40.511,39.042,35.314,30.599
